,en 14,ko 14,en 13,ko 13,en 12,ko 12,en 11,ko 11,en 10,ko 10,en 9,ko 9,en 8,ko 8,en 7,ko 7,en 6,ko 6,en 5,ko 5,en 4,ko 4,en 3,ko 3,en 2,ko 2,en 1,ko 1
10,transaction,"거래, 매매; 처리 (과정)",prejudice,"편견, 선입관; 편견을 갖게 하다",stiff,"뻣뻣한, 뻑뻑한; 뻐근한, 결린",accustomed,익숙한; 평소의,trivial,"하찮은, 사소한, 시시한",transcribe,"필기하다, 받아 적다; 베껴 쓰다; 편곡하다",semester,학기,awkward,"난처한, 곤란한; 어색한; 서투른",exclusive,"독점적인; 배타적인; 고급의, 고가의; ~을 제외하고; 독점 기사",withdraw,"탈퇴하다, 물러나다, 철수하다; 철회[취소]하다; (돈을) 인출하다",typical,"전형적인, 대표적인; 보통의, 일반적인",immerse,"(액체 속에) 담그다; 몰두하다, 몰두시키다",anthropology,인류학,convince,"납득시키다, 확신시키다; 설득하다"
11,reunion,"재회 모임, 동창회; 재결합, 재통합",shatter,"산산이 부서지다, 산산조각 내다",evoke,"(감정 · 기억 등을) 일깨우다, 환기하다",distinctive,"독특한, 구별되는",suspect,"의심하다, 혐의를 두다; 짐작하다, 생각하다; 용의자",index,색인; (물가 등의) 지수; 색인을 만들다; (임금 등을) 물가와 연계시키다,penetrate,"뚫고 들어가다, 관통하다; (적진 등에) 침투하다",conform,"(법 · 규칙 등에) 따르다, 순응하다; ~에 일치하다, 같아지다",metaphor,"은유, 비유",equity,"공평, 공정",statistic,통계; 통계학,praise,"칭찬하다, 높이 평가하다; 칭찬, 찬사",tomb,무덤,defect,"결함, 결점"
12,uncover,"덮개를 벗기다, 뚜껑을 열다; (비밀 등을) 알아내다",criticize,"비판하다, 비난하다",primitive,"원시 사회의, 원시적인; 원시인",originate,"비롯하다, 유래하다; 고안하다, 창시하다",implement,"이행하다, 실행하다; 도구, 용구",struggle,"애쓰다, 분투하다; 싸우다; 노력, 분투; 싸움",comprise,~으로 구성되다; 구성[차지]하다,aggressive,공격적인; (원하는 것을 이루기 위해) 매우 적극적인,tablet,"알약; 평판, 서판",antique,골동품; 골동품인,prospect,"가망, 가능성; 예상; 전망",authority,"권력, 권한; 당국; 권위",precisely,정확히,implicit,"암묵적인, 암시된, 내포된; (신뢰 등이) 절대적인, 무조건적인"
13,mainstream,"주류, 대세; 주류에 편입시키다",novelty,"새로움, 참신함; 새로운 것",majority,"대부분, 다수",barely,"거의 ~ 않다; 간신히, 겨우",excavate,"발굴하다; 파다, 파내다",linguistic,언어의; 언어학의,solitary,"외딴, 고독한; 혼자의, 혼자서 하는; 혼자 있기를 좋아하는",hazard,위험 (요소); 위태롭게 하다,thereby,"그렇게 함으로써, 그것 때문에",canal,"수로, 운하",proposition,"(사업상의) 제안; 일, 과제; 명제, 진술",consolidate,"통합하다, 합병하다; (권력 등을) 굳건하게 하다, 강화하다",,,efficient,"효율적인, 능률적인; 유능한"
14,discrete,"별개의, 개별적인",bias,"편견, 선입관; 성향; 편견을 갖게 하다",imperative,"필수의, 반드시 해야 하는; (태도가) 명령적인; 긴급한 일; 명령",adversity,"역경, 고난, 불운",bound,"꼭 ~할 것 같은; ~할 (법적) 의무가 있는; ~ 행(行)의; 껑충 뛰다; 경계를 이루다; 도약, 껑충 뜀",appoint,"임명하다, 지명하다; (시간 · 장소 등을) 정하다",patron,"후원자, 후원 단체",context,"(어떤 일의) 전후 상황, 맥락; (글의) 맥락, 문맥",entail,"수반하다, 포함하다",intrude,"침입하다, 침해하다; 방해하다",confine,"국한하다, 한정하다; 가두다, 감금하다",intervene,"개입하다, 중재하다; (말하는 도중에) 끼어들다",,,willing,"기꺼이 ~하는; 자진해서 하는, 자발적인"
15,domesticate,"(동물을) 길들이다, 사육하다; (작물을) 재배하다",obscure,모호한; 잘 알려지지 않은; 모호하게 하다; 안 보이게 하다,choir,"합창단, 성가대",cite,인용하다; (이유 · 예를) 들다,allot,"할당하다, 배당하다",alliance,"동맹, 협정; 동맹 단체, 연합회",auditorium,"객석, 강당",abrupt,"돌연한, 갑작스러운; 퉁명스러운",prefer,"(~을) 더 좋아하다, 선호하다",beverage,음료,disturb,방해하다; 불안하게 하다; 어지럽히다,stance,"입장, 태도; (특히 스포츠에서) 자세",,,attentive,"주의를 기울이는; 배려하는, 신경을 쓰는"
16,embed,"(단단히) 박다, 끼우다, 깊이 새겨 넣다",draft,"원고, 초안; 징병; 초안을 작성하다; 징병하다",mortgage,"담보대출(금), 주택 융자(금); 저당 잡히다",endeavor,"노력, 시도; 노력하다, 애쓰다",sack,"자루; 해고, 파면; 해고하다",deficiency,"결핍, 부족; 결함",passive,"소극적인, 수동적인; 순종적인; 수동태",offset,"상쇄하다, 벌충하다",intuitive,"직감적인, 직관적인; 직감력이 있는, 감이 뛰어난",authentic,"정통의, 진정한; 진품인, 진본인",schema,"(간단한) 도식, (계획이나 이론의) 개요",archaeologist,고고학자,,,intensify,"심해지다, 강화하다"
17,verify,"(사실임을) 입증하다, 증명하다; (진실인지) 확인하다",shiver,"(추위 · 공포 등으로) 떨다, 전율하다; 떨림, 전율",immortal,"죽지 않는, 불사의; 불멸의, 불후의",reassure,안심시키다,significant,중요한; (수량 · 비율이) 상당한,pastime,"취미, 오락, 기분 전환",frequent,"잦은, 빈번한; (장소에) 자주 다니다",brutal,"잔혹한, 악랄한, 잔인할 정도의",diversify,"다각화하다, 다양화하다; 변화를 주다",wander,"돌아다니다, 헤매다; (생각이) 다른 데로 흐르다, 산만해지다; 거닐기",desperate,"자포자기한, 절박한; 절망적인; 필사적인; 간절히 원하는",anticipate,"예상하다; 기대하다, 고대하다",,,stock,"재고(품); 비축물, 저장량; 주식; 가축; (상품의 재고를) 갖추다"
18,ironic,"아이러니한, 모순적인; 비꼬는, 풍자적인",obstacle,"장애(물), 방해(물)",hinder,"방해하다, 저해하다",manifest,"나타내다, 드러내다; 명백한, 분명한",attain,"획득하다, 이루다; (특정 수준 등에) 도달하다",extract,"뽑다, 추출하다; 발췌하다; 추출물; 발췌",descend,"내려오다, 내려가다, 하강하다; (어둠이) 내려앉다",rural,"시골의, 지방의, 전원의",reflect,"반사하다; (거울 등에) 비치다, 비추다; 반영하다; 숙고하다",expend,"(많은 돈 · 시간 · 에너지를) 쏟다, 들이다",empirical,"경험[실험]에 따른, 실증적인",crude,"대충의, 대강의; 천연 그대로의",,,contaminate,오염시키다; 악영향을 미치다
19,infrastructure,사회기반시설,ragged,"너덜너덜한, 해진; 누더기를 걸친; 울퉁불퉁한",grin,"활짝 웃다, 크게 웃다; 활짝 웃음",discord,"불일치, 불화; 불협화음",desirable,"바람직한, 가치 있는",iconic,"~의 상징이 되는, 우상의",escalate,"확대하다, 증가하다",distract,"(마음 · 주의를) 흐트러뜨리다, 산만하게 하다",gossip,"(남에 대한 좋지 못한) 소문, 험담; 험담을 하다",,,drawback,"결점, 문제점",deflate,"공기를 빼다; (기운 등을) 꺾다, 위축시키다; (경제를) 수축시키다",,,collective,"공동 사업체; 집단의, 공동의"
20,superficial,"깊이 없는, 얄팍한; 피상적인, 표면적인",sob,"흐느껴 울다; 흐느끼며 말하다; 흐느낌, 흐느껴 울기",indicate,"나타내다; 가리키다, 지시하다; 표시하다",constant,"규칙적으로 되풀이되는, 끊임없는; 일정한",authoritative,"권위 있는; 권위적인, 위압적인",exaggerate,과장하다,institute,"기관, 협회, (전문)학교; (제도 · 정책 등을) 도입하다",conceal,"감추다, 숨기다; 비밀로 하다",correlation,"연관성, 상관관계",,,lick,핥다; (불길 등이) 집어삼키다,inflate,"(공기나 가스로) 부풀리다, 부풀다; 과장하다; (가격을) 올리다",,,ascent,"오르기, 등반; 오르막(길); 상승, 향상"
21,assume,"가정하다, 추정하다; (책임 · 역할 등을) 떠맡다",compliment,"찬사, 칭찬의 말; 경의; 칭찬하다",generic,"일반적인, 포괄적인",expenditure,"지출, 비용; 소비",obvious,"명백한, 분명한",stimulate,자극하다; 흥미를 불러일으키다; 활성화하다,discern,"알아차리다, 파악하다; 식별하다, 분간하다",reveal,"밝히다, 폭로하다; 보이다, 드러내다",conceptualize,개념화하다,,,,,personnel,(조직의) 인원; (회사의) 인사과,,,assent,"승인, 찬성; 동의하다, 찬성하다"
22,consume,"소비하다, 다 써버리다; 먹다, 마시다",complement,"보완하다, (더 좋아지게) 덧붙이다; 보완, 보완물",convention,"대회, 협의회; 관습; 조약",enlighten,"설명하다, 이해시키다; 계몽하다",numerous,많은,credulous,"잘 믿는, 잘 속는",detach,"떼다; ~으로부터 거리를 두다, (상황에) 개입하지 않다",,,permanent,영구적인,,,,,,,,,resist,"반대하다, 저항하다; 잘 견디다"
23,expire,"(기간이) 만료되다, 끝나다; 죽다",principle,"원리, 원칙; 신념, 신조, 행동방침",imitate,"모방하다, 본뜨다; (사람을) 흉내 내다",diagnose,진단하다; 원인을 밝혀내다,numerical,"수의, 수와 관련된, 숫자로 나타낸",,,attach,"붙이다, 첨부하다; ~에 애착을 느끼다; 연관되다, 연관 짓다",,,,,,,,,,,,,,
24,,,principal,"주요한, 주된; 중요한; 교장; 단체의 장(長)",,,neutral,"중립적인, 중립의; 중립",induce,"설득하여 ~하게 하다, 유도하다; 유발하다, 야기하다",,,superior,"(~보다) 우수한, 우세한; 상급의, 상관의",,,,,,,,,,,,,,
25,,,,,,,absorb,흡수하다; (정보를) 받아들이다,deduce,"추론[추정]하다, 연역하다",,,inferior,"(~보다) 못한, 열등한; 하급의, 지위가 낮은",,,,,,,,,,,,,,
26,,,,,,,absurd,"터무니없는, 황당한; 부조리",,,,,,,,,,,,,,,,,,,,
